"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","16/55","214/10632",6.15777242828769e-15,5.6035729097418e-13,4.14839405695171e-13,"69550/54123/246727/71586/23961/19106/14972/16391/20846/20684/21356/21354/14964/12010/15015/545812",16
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","13/55","229/10632",9.96249985684436e-11,4.53293743486419e-09,3.35578942546336e-09,"100038882/54123/246727/23961/19106/14972/16391/20846/21356/21354/14964/12010/15015",13
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","8/55","88/10632",1.41322706620988e-08,4.2867887675033e-07,3.17356253464674e-07,"14972/21356/21354/19188/14964/19186/12010/15015",8
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","9/55","220/10632",1.64289378200236e-06,3.70507229095349e-05,2.74291066074058e-05,"14468/54123/54396/15944/246727/229900/23961/16391/20846",9
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","8/55","167/10632",2.0357540060184e-06,3.70507229095349e-05,2.74291066074058e-05,"58185/15957/54123/246727/23961/19106/16391/20846",8
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","8/55","174/10632",2.76927068257605e-06,4.20006053524035e-05,3.10935655587487e-05,"58185/54123/246727/71586/23961/19106/16391/20846",8
"Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome - Mus musculus (house mouse)","5/55","47/10632",4.00072774517524e-06,5.20094606872781e-05,3.85032444648444e-05,"19171/16913/19188/19186/16912",5
"Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","7/55","145/10632",8.91127511930118e-06,0.000101365754482051,7.50423167941152e-05,"54123/246727/71586/23961/19106/16391/20846",7
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","8/55","243/10632",3.1942168628264e-05,0.000322970816130225,0.000239099273942561,"69550/14972/21356/21354/14964/12010/56045/15015",8
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","9/55","359/10632",8.30391779938639e-05,0.000755656519744161,0.000559421830695504,"100038882/23962/231655/19106/14972/16391/20846/14964/15015",9
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","7/55","224/10632",0.000144075340600972,0.00119189599951713,0.000882375291718872,"54123/19106/14972/16391/20846/14964/15015",7
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","7/55","228/10632",0.000160777185645959,0.00121922699114852,0.000902608761521172,"54123/19106/14972/16391/20684/14964/15015",7
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","8/55","334/10632",0.000292672914978176,0.00204871040484724,0.00151668555130391,"100038882/246727/71586/23961/19106/16391/20846/20042",8
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","4/55","82/10632",0.000831322279538485,0.00540359481700015,0.00400034781131301,"58203/22040/54123/56045",4
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","6/55","256/10632",0.0019833486604969,0.0120323152070145,0.00890767117696854,"14972/21356/21354/14964/12010/15015",6
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","4/55","109/10632",0.00238542282602642,0.0132753586093032,0.00982791152105733,"54396/15944/16145/20846",4
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","5/55","183/10632",0.00248001204789181,0.0132753586093032,0.00982791152105733,"53857/14972/21354/14964/15015",5
"Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","3/55","60/10632",0.00363949022488287,0.0174312426560179,0.012904563678255,"14972/14964/15015",3
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","3/55","60/10632",0.00363949022488287,0.0174312426560179,0.012904563678255,"14972/14964/15015",3
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","3/55","67/10632",0.00496691043404216,0.0225994424748918,0.0167306456725631,"14972/14964/15015",3
"Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","3/55","73/10632",0.00630963024221592,0.0273417310496023,0.0202414203259057,"100038882/54123/71586",3
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","3/55","76/10632",0.00705454264403729,0.0291801536639724,0.0216024272353295,"14972/14964/15015",3
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","3/55","94/10632",0.0126023515279839,0.0496420086178293,0.0367505905325746,"14972/14964/15015",3
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis - Mus musculus (house mouse)","4/55","177/10632",0.0130923978772297,0.0496420086178293,0.0367505905325746,"58203/19106/16391/20846",4
